,Aircraft,Cabin Staff Service,Date Flown,Food & Beverages,Ground Service,Inflight Entertainment,Recommended,Route,Seat Comfort,Seat Type,Type Of Traveller,Value For Money,Wifi & Connectivity
20,Boeing 777,4,March 2023,2.0,3,3.0,yes,Mumbai to Nassau via London,4,Premium Economy,Solo Leisure,3,1.0
21,A380,5,March 2023,4.0,1,4.0,no,Johannesburg to London,4,First Class,Couple Leisure,2,4.0
22,,2,March 2023,1.0,1,1.0,no,Zagreb to London Heathrow,3,Economy Class,Solo Leisure,2,1.0
23,,1,December 2022,1.0,1,1.0,no,Dublin to Orlando via Heathrow,1,Economy Class,Solo Leisure,1,1.0
24,,4,December 2022,4.0,1,4.0,no,London to Dubai,4,Business Class,Business,1,4.0
25,,1,March 2023,1.0,1,1.0,no,Heathrow to Glasgow,1,Economy Class,Business,1,1.0
26,,2,March 2023,1.0,3,1.0,no,London to Los Angeles,1,Economy Class,Solo Leisure,1,1.0
27,Boeing 777 / A320,5,March 2023,5.0,5,5.0,yes,New York to Istanbul via London,5,Economy Class,Solo Leisure,5,
28,A321neo,2,January 2023,1.0,3,1.0,no,London to Cairo,1,Business Class,Business,1,
29,Boeing 787,5,February 2023,5.0,5,4.0,yes,London Singapore,3,Economy Class,Solo Leisure,4,
30,A380,3,February 2023,2.0,4,3.0,yes,London to Dubai,2,Business Class,Business,3,
31,,4,February 2023,1.0,1,1.0,no,London to Lyon,1,Economy Class,Family Leisure,1,1.0
32,Boeing 787-9,5,February 2023,4.0,5,4.0,yes,Mexico City to London,5,Business Class,Couple Leisure,5,
33,A320,5,January 2023,4.0,5,,yes,London Heathrow to Glasgow,5,Economy Class,Business,5,5.0
34,Boeing 777-300,4,January 2023,1.0,4,1.0,no,London to Vancouver,4,Premium Economy,Solo Leisure,1,
35,A380,5,January 2023,4.0,5,3.0,yes,Heathrow to Johannesburg,4,First Class,Solo Leisure,4,3.0
36,Boeing 777-200,5,January 2023,5.0,4,4.0,yes,Cape Town to London,4,Business Class,Couple Leisure,4,4.0
37,Boeing 777-300ER,5,January 2023,5.0,5,5.0,yes,London to Male,5,Business Class,Couple Leisure,4,2.0
38,Boeing 787-8,5,December 2022,4.0,4,3.0,yes,London to Tel Aviv,4,Economy Class,Family Leisure,5,4.0
39,Boeing 777-200,5,January 2023,5.0,4,5.0,yes,London Heathrow to Cape Town,3,Business Class,Couple Leisure,4,5.0
40,,4,April 2022,1.0,3,1.0,no,London Heathrow to Athens Greece,3,Premium Economy,Solo Leisure,1,1.0
41,Boeing 777-200,1,January 2023,1.0,1,3.0,no,Atlanta to London,1,Economy Class,Family Leisure,2,
42,A380,2,December 2022,3.0,3,4.0,no,London to Chicago,3,Economy Class,Family Leisure,2,
43,"A320, A380",2,January 2023,1.0,1,1.0,no,Vienna to Los Angeles via London Heathrow,1,Business Class,Family Leisure,1,1.0
44,,5,January 2023,2.0,2,1.0,no,London to San francisco,2,Business Class,Business,1,1.0
45,A380,3,December 2022,1.0,5,1.0,no,Doha to London,5,Economy Class,Business,4,
46,Boeing 777,4,December 2022,4.0,4,2.0,no,London to Barbados,3,Business Class,Couple Leisure,3,
47,Boeing 777,4,December 2022,4.0,2,2.0,no,London Gatwick to Cape Town,3,Premium Economy,Solo Leisure,3,
48,A350,3,December 2022,2.0,1,2.0,no,Cape Town to London,4,Business Class,Solo Leisure,2,
49,Boeing 777-300,2,December 2022,1.0,3,1.0,no,London to Male,2,First Class,Couple Leisure,1,1.0
50,A321,4,December 2022,5.0,1,,yes,London to Rome,4,Business Class,Business,4,4.0
51,Boeing 777,1,December 2022,1.0,1,1.0,no,Barbados to London Heathrow,1,Business Class,Couple Leisure,1,
52,Boeing 777-200,5,November 2022,4.0,3,4.0,yes,Doha to  Gatwick,2,Economy Class,Solo Leisure,5,
53,A320,5,December 2022,3.0,5,3.0,no,Glasgow to London,5,Business Class,Business,3,3.0
54,Boeing 787-9,1,December 2022,1.0,1,3.0,no,Denver to London,1,Economy Class,Business,1,
55,A380,1,November 2022,2.0,3,2.0,no,San Francisco to London,2,Economy Class,Solo Leisure,2,1.0
56,Boeing 787 / A320,4,January 2022,4.0,4,4.0,yes,Montreal to Edinburgh via London Heathrow,4,Economy Class,Solo Leisure,4,
57,,1,August 2022,1.0,1,1.0,no,Dusseldorf to London via Los Angeles,1,Economy Class,Solo Leisure,1,1.0
58,Boeing 777,2,November 2022,1.0,1,4.0,no,London to Cape Town,4,Business Class,Solo Leisure,1,
59,,5,November 2022,2.0,2,2.0,no,Milan to Dallas via London,2,Economy Class,Solo Leisure,1,2.0
60,Boeing 787-8,3,November 2022,3.0,2,1.0,yes,Baltimore to London Heathrow,1,Economy Class,Solo Leisure,3,
61,,3,October 2022,3.0,1,2.0,no,Dubai to Belfast via London,3,Business Class,Couple Leisure,1,2.0
62,Boeing 777,1,October 2022,1.0,1,2.0,no,London Heathrow to Nairobi,3,Business Class,Solo Leisure,1,1.0
63,A350-1000,4,October 2022,5.0,3,5.0,yes,London to Los Angeles,5,Business Class,Solo Leisure,5,5.0
64,A320,5,October 2022,5.0,4,,yes,Copenhagen to Heathrow,3,Business Class,Solo Leisure,5,5.0
65,A320,2,October 2022,1.0,2,1.0,no,Larnaca to London,1,Economy Class,Family Leisure,2,
66,Boeing 787-10,4,October 2022,4.0,5,5.0,yes,Atlanta to London,5,Business Class,Couple Leisure,4,5.0
67,A380,1,September 2022,1.0,3,4.0,no,Madrid to San Francisco via London,3,Business Class,Solo Leisure,1,
68,A380,5,October 2022,5.0,2,3.0,yes,London to Washington,3,Economy Class,Solo Leisure,5,
69,A380,1,October 2022,3.0,1,3.0,no,London to San Francisco,1,Economy Class,Couple Leisure,1,5.0
70,Boeing 777-300,4,October 2022,3.0,4,4.0,yes,London to Los Angeles,3,Economy Class,Couple Leisure,4,
71,Boeing 777,5,October 2022,3.0,4,2.0,yes,Miami to London Heathrow,5,Business Class,Couple Leisure,3,
72,A380,4,October 2022,4.0,4,2.0,yes,Dubai to London,4,Business Class,Solo Leisure,3,2.0
73,A320neo,1,October 2022,1.0,4,,no,London to Cairo,1,Economy Class,Couple Leisure,1,1.0
74,Boeing 777,5,October 2022,5.0,5,5.0,yes,Orlando to London Gatwick,5,Business Class,Solo Leisure,4,4.0
75,A321neo,4,October 2022,1.0,3,,no,London to Cairo,2,Economy Class,Business,1,2.0
76,A380,4,September 2022,2.0,4,4.0,yes,Dallas to London,2,Economy Class,Couple Leisure,3,
77,A320-200,3,September 2022,2.0,3,1.0,no,Istanbul to London Heathrow,1,Business Class,Solo Leisure,2,
78,Boeing 777-200,4,September 2022,4.0,5,4.0,yes,London Heathrow to New York JFK,5,Business Class,Solo Leisure,5,
79,,5,September 2022,5.0,5,5.0,yes,Heathrow to Mexico City,5,Premium Economy,Solo Leisure,5,5.0
80,,5,September 2022,5.0,5,5.0,yes,London to Tampa,5,Economy Class,Solo Leisure,5,5.0
81,,3,September 2022,2.0,4,5.0,yes,Sydney to London via Singapore,1,Economy Class,Solo Leisure,2,5.0
82,,1,September 2022,2.0,1,1.0,no,London to Manchester,4,Economy Class,Couple Leisure,1,1.0
83,,5,September 2022,5.0,4,1.0,yes,London Gatwick to Malaga,3,Business Class,Couple Leisure,3,1.0
84,Boeing 787,5,August 2022,5.0,3,5.0,yes,Tel Aviv to London,5,Economy Class,Couple Leisure,4,
85,,5,August 2022,5.0,5,5.0,yes,Boston to Dublin via London,5,Economy Class,Couple Leisure,5,1.0
86,,5,July 2022,5.0,5,5.0,yes,London to New York,5,Economy Class,Couple Leisure,3,5.0
87,Boeing 777,1,August 2022,1.0,4,3.0,no,Cape Town to London Heathrow,2,Economy Class,Family Leisure,3,
88,A320,1,June 2022,1.0,1,1.0,no,London to Marrakesh,1,Business Class,Solo Leisure,1,1.0
89,A380,5,July 2022,4.0,4,4.0,yes,San Francisco to London,4,Business Class,Family Leisure,4,5.0
90,A350-1000,2,July 2022,3.0,3,1.0,yes,Sao Paulo to Heathrow,1,Economy Class,Couple Leisure,3,
91,A350,4,July 2022,4.0,5,5.0,yes,London to Los Angeles,4,Business Class,Family Leisure,4,5.0
92,,1,July 2022,1.0,1,1.0,no,Nairobi to New York via London,1,Premium Economy,Solo Leisure,1,1.0
93,"A320, Boeing 787",3,July 2022,3.0,1,2.0,no,Venice to Baltimore via London Heathrow,3,Premium Economy,Solo Leisure,2,1.0
94,A350,3,June 2022,3.0,2,2.0,no,London Heathrow to Johannesburg,1,Economy Class,Couple Leisure,4,
95,,1,July 2021,1.0,1,1.0,no,London to Paris,1,Economy Class,Couple Leisure,1,1.0
96,,4,June 2022,4.0,3,2.0,no,Miami to Paris,3,Business Class,Business,1,1.0
97,,2,June 2022,1.0,1,1.0,no,Edmonton to Cairo,2,Economy Class,Family Leisure,2,1.0
98,,2,June 2022,2.0,2,2.0,no,Amsterdam to Montreal via London,2,Premium Economy,Couple Leisure,2,2.0
99,A350,4,June 2022,1.0,3,2.0,no,London to Johannesburg,1,Economy Class,Business,2,1.0
100,A320,4,June 2022,1.0,2,1.0,no,Paris CDG to London Heathrow,1,Economy Class,Couple Leisure,1,1.0
101,A320,2,June 2022,2.0,2,,no,London to Malaga,3,Business Class,Business,3,3.0
102,,4,June 2022,4.0,1,3.0,no,Boston to Edinburgh via Heathrow,1,Economy Class,Couple Leisure,1,1.0
103,A380,2,June 2022,1.0,2,3.0,no,Vancouver to London,1,Economy Class,Solo Leisure,3,
104,Boeing 777-200,4,June 2022,3.0,2,5.0,yes,London to san Francisco,4,Business Class,Couple Leisure,4,4.0
105,Boeing 777,3,June 2022,2.0,3,4.0,no,Cancun to London Gatwick,4,Premium Economy,Couple Leisure,3,
106,,1,June 2022,1.0,1,1.0,no,Dallas Fort-Worth to Toulouse via London,1,Business Class,Family Leisure,1,1.0
107,A380,5,June 2022,3.0,2,4.0,yes,Vancouver to London,4,Business Class,Solo Leisure,5,4.0
108,Boeing 777-300ER,5,May 2022,5.0,5,,yes,London to Boston,4,Economy Class,Business,3,5.0
109,Boeing 777-300,5,May 2022,1.0,3,3.0,no,Bridgetown to London,1,Economy Class,Family Leisure,1,
110,A320,2,May 2022,1.0,1,1.0,no,London Heathrow to Malaga,3,Economy Class,Solo Leisure,3,1.0
111,,2,May 2022,2.0,1,2.0,no,Basel to Johannesburg via London,1,Economy Class,Solo Leisure,2,1.0
112,A320,4,May 2022,3.0,3,,no,Athens to London,2,Business Class,Couple Leisure,2,2.0
113,Boeing 787,4,April 2022,4.0,4,3.0,yes,London to Mexico City,5,Premium Economy,Solo Leisure,4,
114,,4,May 2022,4.0,1,4.0,no,Glasgow to New York,3,Economy Class,Business,1,4.0
115,Boeing 777,5,May 2022,5.0,5,5.0,yes,Dubai to Milan Malpensa via London,5,Premium Economy,Solo Leisure,5,3.0
116,,5,April 2022,5.0,5,5.0,yes,São Paulo to Milan via London,5,Economy Class,Solo Leisure,5,5.0
117,A320,1,March 2022,1.0,1,1.0,no,Pisa to London Heathrow,1,Business Class,Solo Leisure,1,1.0
118,A320,3,April 2022,1.0,1,,no,Gothenburg to Manchester via London,3,Economy Class,Couple Leisure,1,1.0
119,Boeing 787,5,March 2022,5.0,3,4.0,yes,Chicago to London,5,Business Class,Solo Leisure,4,
120,A380,5,April 2022,4.0,4,3.0,yes,Glasgow to Washington via London,4,Economy Class,Family Leisure,3,3.0
121,A320neo,4,April 2022,2.0,2,,no,Malaga to London,2,Business Class,Business,2,1.0
122,,5,April 2022,4.0,5,5.0,yes,Nice to Dallas via London,5,Economy Class,Couple Leisure,4,5.0
123,A320 / Boeing 777,2,April 2022,2.0,2,1.0,no,Phoenix to Paris via London,3,Business Class,Couple Leisure,2,
124,Boeing 777-200,5,April 2022,5.0,4,5.0,yes,Phoenix to London Heathrow,5,Business Class,Business,5,3.0
125,Boeing 777-200ER,4,March 2022,4.0,2,4.0,yes,Vancouver to London,4,Business Class,Solo Leisure,5,5.0
126,Boeing 777,3,March 2022,3.0,4,1.0,yes,Barbados to Heathrow,2,Business Class,Couple Leisure,3,
127,A320,5,April 2022,4.0,1,,no,Geneva to London,4,Business Class,Business,4,3.0
128,,1,April 2022,1.0,1,1.0,no,London to Singapore,1,Economy Class,Solo Leisure,1,1.0
129,Boeing 777,5,March 2022,4.0,4,2.0,yes,London to Barbados,4,Business Class,Couple Leisure,4,
130,A320,1,March 2022,2.0,1,1.0,no,London to Malaga,2,Business Class,Business,1,
131,Boeing 777-200,1,March 2022,1.0,3,2.0,no,Cape Town to London,2,Business Class,Couple Leisure,2,
132,Boeing 787-9,1,March 2022,1.0,1,1.0,no,London to Austin,4,Economy Class,Couple Leisure,3,
133,Boeing 787-900,1,March 2022,1.0,2,4.0,no,Singapore to London,5,First Class,Solo Leisure,2,
134,A350,4,March 2022,3.0,3,1.0,no,Dublin to Dubai via London,3,Economy Class,Family Leisure,3,
135,A321-neo,5,August 2021,2.0,1,,no,London Heathrow to Sofia,3,Business Class,Business,2,1.0
136,Boeing 777,3,February 2022,2.0,2,3.0,yes,Cape Town to Glasgow via London,3,Premium Economy,Solo Leisure,3,
137,,4,March 2022,1.0,2,1.0,no,Bangalore to London,3,Business Class,Business,1,2.0
138,Boeing 777-200,3,March 2022,2.0,3,1.0,no,London to Cape Town,3,Business Class,Couple Leisure,3,
139,A350,5,February 2022,5.0,4,5.0,yes,Vancouver to London,4,Premium Economy,Solo Leisure,5,4.0
140,A320,3,February 2022,2.0,3,,no,London to Malaga,3,Business Class,Business,2,3.0
141,Boeing 787-9,5,February 2022,4.0,5,4.0,yes,Washington to London,4,Business Class,Family Leisure,4,4.0
142,,2,January 2022,1.0,1,1.0,no,Accra to London,1,Economy Class,Couple Leisure,1,1.0
143,Boeing 787-9,5,February 2022,5.0,5,4.0,yes,London to Washington,4,Business Class,Family Leisure,4,5.0
144,Boeing 787-9,5,January 2022,4.0,5,4.0,yes,Atlanta to Belfast via Heathrow,4,Business Class,Couple Leisure,5,
145,Boeing 777,4,January 2022,2.0,3,4.0,yes,Cape Town to London Heathrow,3,Business Class,Couple Leisure,3,
146,Boeing 777,4,January 2022,3.0,3,1.0,no,London Heathrow to Orlando,2,Business Class,Couple Leisure,3,
147,A380,1,January 2022,1.0,1,2.0,no,London Heathrow to Dubai,2,Economy Class,Couple Leisure,1,
148,Boeing 777,3,December 2021,2.0,4,5.0,yes,London to Cape Town,3,Business Class,Couple Leisure,3,1.0
149,A320-200,5,December 2021,4.0,5,,yes,Edinburgh to London,4,Business Class,Solo Leisure,4,5.0
150,A380,4,December 2021,1.0,2,1.0,no,London Heathrow to Los Angeles,1,Economy Class,Family Leisure,1,
151,Boeing 787,5,November 2021,5.0,4,3.0,yes,London to Chicago,4,First Class,Couple Leisure,4,5.0
152,A320,2,December 2021,3.0,1,1.0,no,London to Istanbul,1,Business Class,Solo Leisure,2,1.0
153,Boeing 777,2,December 2021,3.0,1,4.0,yes,Dubai to London Heaathrow,4,Business Class,Couple Leisure,4,3.0
154,Boeing 777,5,December 2021,3.0,5,2.0,no,London Gatwick to Cancun,1,Business Class,Couple Leisure,3,
155,,2,August 2021,2.0,2,3.0,no,Kingston to London,1,Business Class,Business,1,1.0
156,,1,January 2021,1.0,1,1.0,no,London to Delhi,1,Business Class,Family Leisure,1,1.0
157,,2,November 2021,2.0,1,2.0,no,London to Chicago,1,Economy Class,Solo Leisure,1,2.0
158,Boeing 777,2,October 2021,2.0,1,2.0,no,Manchester to Nassau via London,2,Economy Class,Couple Leisure,1,1.0
159,A321,4,October 2021,2.0,3,,yes,Larnaca to London Heathrow,2,Business Class,Family Leisure,3,3.0
160,Boeing 787,5,October 2021,5.0,3,4.0,yes,Madrid to London,4,Premium Economy,Couple Leisure,5,
161,A321,5,October 2021,3.0,4,2.0,yes,London to Larnaca,3,Business Class,Family Leisure,4,2.0
162,,5,October 2021,5.0,5,5.0,yes,Male to London,5,Economy Class,Couple Leisure,5,5.0
163,A350,5,October 2021,5.0,5,5.0,yes,London to Toronto,5,Business Class,Business,5,5.0
164,,4,September 2021,4.0,4,3.0,no,London Heathrow to Athens Greece,2,Business Class,Solo Leisure,1,4.0
165,A321,4,October 2021,3.0,4,,yes,Larnaca to London Heathrow,3,Business Class,Couple Leisure,4,3.0
166,A320,1,August 2021,1.0,1,,no,Manchester to Aberdeen via Heathrow,1,Economy Class,Couple Leisure,1,1.0
167,,1,September 2021,1.0,3,2.0,no,London to New York,3,Business Class,Business,4,2.0
168,A320,3,September 2021,3.0,3,,yes,London Heathrow to Larnaca,3,Business Class,Couple Leisure,3,2.0
169,A320,5,September 2021,4.0,3,,yes,London to Lisbon,3,Business Class,Family Leisure,4,4.0
170,Boeing 787-8,4,August 2021,1.0,3,1.0,yes,London to Moscow Domodedovo,5,Economy Class,Solo Leisure,2,1.0
171,A320,5,August 2021,4.0,4,4.0,yes,London to Corfu,4,Economy Class,Family Leisure,4,4.0
172,Boeing 777-200,5,July 2021,5.0,4,4.0,yes,Cancun to Gatwick,4,Business Class,Family Leisure,4,4.0
173,Boeing 777-200,5,July 2021,4.0,4,4.0,yes,Gatwick to Cancun,5,Business Class,Family Leisure,5,4.0
174,Boeing 787,2,June 2021,3.0,3,3.0,no,London to Mexico City,1,Business Class,Solo Leisure,1,1.0
175,A321NEO,5,May 2021,4.0,4,3.0,yes,Aberdeen to London Heathrow,4,Economy Class,Solo Leisure,4,5.0
176,,5,December 2020,5.0,5,5.0,no,Sofia to London Heathrow,5,Economy Class,Solo Leisure,3,5.0
177,Boeing 787-9,5,January 2021,1.0,3,2.0,no,Mexico City to London Heathrow,2,First Class,Business,3,1.0
178,A350,1,July 2020,1.0,5,5.0,no,London Heathrow to Dubai,4,Premium Economy,Solo Leisure,5,4.0
179,A321,5,December 2020,3.0,4,,yes,London to Tenerife,3,Business Class,Solo Leisure,4,5.0
180,Boeing 747,1,December 2020,1.0,1,1.0,no,London Heathrow to Lahore,1,Economy Class,Family Leisure,1,1.0
181,,5,November 2019,5.0,5,5.0,yes,Munich to London,5,Economy Class,Couple Leisure,5,5.0
182,,5,October 2020,1.0,5,5.0,no,London to Bangalore,5,Economy Class,Family Leisure,2,3.0
183,A320neo,5,September 2020,5.0,4,5.0,yes,Warsaw to London-Heathrow,5,Business Class,Solo Leisure,5,5.0
184,A350,5,February 2020,5.0,5,5.0,yes,London Heathrow to Toronto,5,Business Class,Couple Leisure,5,
185,Boeing 747-400,5,February 2020,5.0,5,2.0,yes,Las Vegas to London Heathrow,5,Business Class,Couple Leisure,5,
186,,1,March 2020,1.0,1,2.0,no,Sydney to London via Singapore,1,Economy Class,Solo Leisure,1,1.0
187,,3,March 2020,2.0,1,1.0,no,Johannesburg to London,2,Economy Class,Business,2,1.0
188,Boeing 747-400,1,March 2020,1.0,1,1.0,no,Chicago to London Heathrow,1,Business Class,Business,1,1.0
189,Boeing 747-400,1,February 2020,1.0,1,1.0,no,London to New York JFK,1,Business Class,Business,1,1.0
190,Boeing 787,5,January 2020,4.0,4,5.0,yes,London to Beijing,3,Economy Class,Solo Leisure,4,
191,A380,5,January 2020,5.0,5,3.0,yes,Hong Kong to London,5,Economy Class,Family Leisure,5,
192,Boeing 777-200,5,March 2020,5.0,5,4.0,yes,Mumbai to London,4,Economy Class,Couple Leisure,5,
193,Boeing 777-200,5,February 2020,5.0,2,4.0,yes,London to Delhi,4,Economy Class,Couple Leisure,4,
194,Boeing 747-400,5,February 2020,5.0,4,5.0,yes,Vancouver to London,4,Premium Economy,Solo Leisure,5,
195,Boeing 777,5,February 2020,1.0,2,3.0,no,London Heathrow to Nairobi,3,First Class,Solo Leisure,3,
196,Boeing 787,3,February 2020,1.0,1,1.0,no,Rio de Janeiro to London,1,Economy Class,Solo Leisure,2,
197,Boeing 747-400,4,February 2020,3.0,4,1.0,no,Las Vegas to Paris via London,1,Business Class,Couple Leisure,1,
198,A321,4,October 2019,4.0,5,,yes,London Heathrow to Sofia,4,Business Class,Solo Leisure,4,2.0
199,A321neo,3,January 2020,2.0,3,1.0,no,Madrid to London,2,Business Class,Business,2,1.0
200,A380-800,4,January 2020,3.0,3,3.0,yes,Johannesburg to London,3,Business Class,Couple Leisure,3,
201,Boeing 777-200,2,January 2020,2.0,4,4.0,no,Las Vegas to Gatwick,2,Business Class,Business,1,
202,Boeing 747-400,5,January 2020,5.0,1,3.0,no,San Diego to Stockholm via London,5,Business Class,Business,3,1.0
203,,5,December 2019,5.0,5,5.0,yes,New York to London Heathrow via Copenhagen,5,Economy Class,Solo Leisure,5,1.0
204,Boeing 787-9,5,January 2020,4.0,3,4.0,yes,Phoenix to London,3,Business Class,Business,5,
205,Boeing 777-200,4,January 2020,4.0,4,1.0,no,London Heathrow to Bangkok,2,Economy Class,Solo Leisure,2,1.0
206,Boeing 777-200ER,5,January 2020,5.0,1,2.0,yes,Mumbai to Boston via London,2,Economy Class,Solo Leisure,3,1.0
207,,1,December 2019,1.0,1,1.0,no,"Orlando, Florida to Accra, Ghana",1,Economy Class,Family Leisure,1,1.0
208,Boeing 787 / A320,5,January 2020,4.0,4,3.0,yes,Toronto to Geneva via London,4,Economy Class,Solo Leisure,3,
209,Boeing 777-300,5,January 2020,5.0,4,4.0,yes,Hong Kong to London,4,First Class,Solo Leisure,4,
210,Boeing 787,1,January 2020,2.0,2,3.0,no,San Jose to Amsterdam via London,1,Economy Class,Business,3,
211,Boeing 777,4,January 2020,4.0,1,4.0,no,Singapore to Paris via London,3,Business Class,Couple Leisure,2,
212,Boeing 747-400,5,January 2020,3.0,5,4.0,yes,New York  to London Heathrow,4,Economy Class,Family Leisure,4,
213,A380,4,January 2020,4.0,4,3.0,yes,London to Johannesburg,4,Business Class,Couple Leisure,4,2.0
214,Boeing 777-200 / 747-400,5,December 2019,4.0,1,2.0,yes,Boston to Mumbai via London,2,Economy Class,Solo Leisure,5,
215,,1,January 2020,1.0,3,2.0,no,Gatwick to Cancun,3,Premium Economy,Solo Leisure,2,1.0
216,A320,3,January 2020,2.0,4,1.0,yes,Gatwick to Tirana,1,Business Class,Business,2,5.0
217,,3,January 2020,1.0,2,1.0,no,London Heathrow to Vancouver,1,Economy Class,Couple Leisure,1,1.0
218,,1,January 2020,1.0,5,1.0,no,Tokyo to London Heathrow,2,Economy Class,Couple Leisure,1,1.0
219,A380,4,December 2019,3.0,1,4.0,no,London to Hong Kong,3,Business Class,Couple Leisure,3,
220,Boeing 747,3,January 2020,2.0,1,2.0,no,Los Angeles to London Heathrow,1,Business Class,Family Leisure,1,1.0
221,Boeing 787-9,5,December 2019,5.0,4,5.0,yes,London to Rio De Janeiro,5,Business Class,Solo Leisure,5,2.0
222,A320,3,December 2019,2.0,4,1.0,yes,Budapest to Billund via London,3,Economy Class,Solo Leisure,3,
223,,5,December 2019,4.0,4,3.0,yes,Cape Town to Brussels via London,3,Economy Class,Solo Leisure,4,3.0
224,Boeing 777-300ER,5,December 2019,5.0,4,2.0,yes,Sydney to Toulouse via Singapore / London,5,Economy Class,Solo Leisure,5,1.0
225,Boeing 777 - 200,2,December 2019,1.0,5,1.0,no,New York to London,2,Economy Class,Business,5,
226,,1,December 2019,1.0,1,1.0,no,Frankfurt to London,1,Economy Class,Couple Leisure,1,1.0
227,,1,December 2019,1.0,1,1.0,no,London to Glasgow,1,Economy Class,Solo Leisure,1,1.0
228,Boeing 747-400,5,December 2019,4.0,5,4.0,yes,London to San Francisco,3,Business Class,Business,4,5.0
229,A380,5,October 2019,5.0,5,1.0,yes,London to Singapore,4,Business Class,Solo Leisure,5,1.0
230,A380,3,November 2019,3.0,2,3.0,no,Johannesburg to London,1,Economy Class,Family Leisure,1,
231,A380,3,December 2019,3.0,3,3.0,yes,Johannesburg to London,3,Business Class,Couple Leisure,4,
232,Boeing 747-400,5,November 2019,5.0,5,5.0,yes,London Heathrow to Miami,4,First Class,Solo Leisure,5,1.0
233,Boeing 777-300,4,November 2019,4.0,3,2.0,yes,London to Sydney via Singapore,3,Economy Class,Couple Leisure,4,
234,Boeing 747-400,4,November 2019,3.0,1,1.0,no,London to New York JFK,1,Business Class,Couple Leisure,1,
235,Boeing 777-200,2,December 2019,3.0,3,3.0,no,Gatwick to Bridgetown,3,Business Class,Solo Leisure,2,
236,Boeing 777,2,November 2019,2.0,4,3.0,no,Brussels to Bangkok via London,4,Business Class,Business,3,
237,A380,3,November 2019,3.0,3,3.0,yes,London to Johannesburg,3,Business Class,Couple Leisure,3,
238,Boeing 787-9,5,November 2019,4.0,5,4.0,yes,doha to londonDoha to London,5,Economy Class,Family Leisure,5,
239,,3,November 2019,2.0,3,1.0,no,London to Buenos Aires,2,Economy Class,Family Leisure,2,1.0
240,A380,2,November 2019,3.0,3,2.0,no,San Francisco to London,4,Economy Class,Couple Leisure,3,
241,Boeing 777-300,1,November 2019,1.0,2,1.0,no,Sydney to Singapore,1,Business Class,Business,1,1.0
242,Boeing 777,4,November 2019,1.0,1,1.0,no,London to Mauritius,1,Economy Class,Family Leisure,2,1.0
243,,5,November 2019,5.0,5,5.0,yes,Los Angeles to Amsterdam via London,5,Business Class,Business,5,5.0
244,Boeing 747-400,2,November 2019,2.0,2,1.0,no,London to Vancouver,2,Economy Class,Solo Leisure,3,
245,Boeing 747-400,1,November 2019,1.0,1,1.0,no,New York to Paris via London,1,Economy Class,Couple Leisure,1,2.0
246,Boeing 777,4,November 2019,4.0,4,4.0,yes,London to Boston,4,Economy Class,Solo Leisure,3,1.0
